                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                0.58654,                0.37919,                 1.0319,                0.99173,                      1,                  0.995,                0.78768,                0.83329,                0.34666,                 1.0205,             0.00029723,             0.00029723,             0.00029723
                    122,                0.59928,                0.38977,                 1.0226,                 0.9872,                0.99746,                  0.995,                0.77622,                0.83378,                0.35623,                 1.0275,              0.0002878,              0.0002878,              0.0002878
                    123,                0.62067,                0.39021,                 1.0396,                0.99416,                      1,                  0.995,                0.79775,                0.80718,                0.34609,                 1.0036,             0.00027837,             0.00027837,             0.00027837
                    124,                0.61602,                0.39854,                 1.0263,                0.99527,                      1,                  0.995,                 0.8085,                0.77477,                0.34017,                0.98132,             0.00026894,             0.00026894,             0.00026894
                    125,                0.58212,                0.37185,                 1.0252,                0.99279,                0.99924,                  0.995,                0.80029,                0.77524,                0.32531,                 0.9941,             0.00025951,             0.00025951,             0.00025951
                    126,                0.59697,                0.39671,                 1.0183,                0.98041,                      1,                  0.995,                0.81482,                0.78525,                0.34104,                0.99659,             0.00025007,             0.00025007,             0.00025007
                    127,                0.58522,                0.37849,                 1.0141,                0.97893,                      1,                  0.995,                0.80312,                0.78468,                0.34764,                0.99449,             0.00024064,             0.00024064,             0.00024064
                    128,                0.60133,                0.38869,                 1.0227,                0.98083,                      1,                  0.995,                0.80179,                0.77882,                0.34844,                0.99085,             0.00023121,             0.00023121,             0.00023121
                    129,                0.57509,                0.37442,                 1.0321,                0.99341,                      1,                  0.995,                0.79528,                0.77555,                0.33415,                 0.9855,             0.00022178,             0.00022178,             0.00022178
                    130,                0.59533,                0.37388,                 1.0297,                0.99552,                      1,                  0.995,                0.79635,                0.77524,                0.32554,                0.98441,             0.00021235,             0.00021235,             0.00021235
                    131,                0.57066,                0.38108,                  1.034,                0.99707,                0.99936,                  0.995,                0.80381,                0.77255,                0.32429,                0.97852,             0.00020292,             0.00020292,             0.00020292
                    132,                 0.5677,                 0.3671,                 1.0066,                 0.9934,                      1,                  0.995,                0.80749,                0.76702,                0.33089,                0.97665,             0.00019349,             0.00019349,             0.00019349
                    133,                0.59872,                0.39128,                 1.0162,                0.99195,                      1,                  0.995,                0.79774,                0.79105,                0.32835,                0.98158,             0.00018406,             0.00018406,             0.00018406
                    134,                 0.5354,                0.36075,                0.99894,                0.98902,                0.99533,                  0.995,                0.79604,                0.80654,                0.33395,                0.98791,             0.00017462,             0.00017462,             0.00017462
                    135,                0.59821,                0.39866,                 1.0265,                0.99404,                0.99975,                  0.995,                0.79276,                0.81418,                0.33288,                 1.0066,             0.00016519,             0.00016519,             0.00016519
                    136,                0.53845,                0.36038,                0.99379,                0.99429,                      1,                  0.995,                 0.7914,                0.83061,                0.33229,                 1.0051,             0.00015576,             0.00015576,             0.00015576
                    137,                0.54305,                0.35647,                 0.9994,                0.99494,                      1,                  0.995,                0.78669,                0.84617,                0.33515,                 1.0102,             0.00014633,             0.00014633,             0.00014633
                    138,                0.58427,                  0.377,                 1.0221,                0.99444,                      1,                  0.995,                0.78286,                0.80933,                0.33444,                  1.005,              0.0001369,              0.0001369,              0.0001369
                    139,                0.57406,                0.37502,                  1.023,                0.99564,                      1,                  0.995,                0.79037,                0.80797,                  0.331,                 1.0057,             0.00012747,             0.00012747,             0.00012747
                    140,                0.55751,                 0.3823,                 1.0156,                0.99364,                      1,                  0.995,                0.78881,                0.83279,                0.33963,                 1.0043,             0.00011804,             0.00011804,             0.00011804
                    141,                0.46826,                0.30833,                0.92125,                0.99392,                      1,                  0.995,                0.77898,                0.85956,                0.35045,                 1.0146,              0.0001086,              0.0001086,              0.0001086
                    142,                0.49701,                0.31518,                0.95939,                0.99308,                      1,                  0.995,                0.78393,                0.83393,                0.35571,                0.99765,             9.9173e-05,             9.9173e-05,             9.9173e-05
                    143,                0.46465,                0.28962,                0.94888,                0.99039,                      1,                  0.995,                0.79329,                0.80937,                0.34321,                0.99314,             8.9741e-05,             8.9741e-05,             8.9741e-05
                    144,                0.45153,                0.29152,                 0.9384,                0.98905,                      1,                  0.995,                0.79031,                0.79308,                0.33517,                0.98651,              8.031e-05,              8.031e-05,              8.031e-05
                    145,                0.44522,                0.28954,                0.95478,                0.99638,                0.99976,                  0.995,                0.79557,                0.79225,                0.33361,                0.98352,             7.0878e-05,             7.0878e-05,             7.0878e-05
                    146,                0.43521,                0.28088,                 0.9231,                0.99596,                      1,                  0.995,                0.80073,                0.78439,                 0.3324,                0.97973,             6.1447e-05,             6.1447e-05,             6.1447e-05
                    147,                0.44481,                0.28892,                0.92952,                0.99387,                      1,                  0.995,                0.79503,                0.78578,                0.33081,                0.98074,             5.2016e-05,             5.2016e-05,             5.2016e-05
                    148,                0.45647,                0.29103,                0.91132,                0.99574,                0.99928,                  0.995,                  0.796,                0.79437,                0.33388,                0.98641,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    149,                0.44594,                0.27664,                0.93155,                0.99472,                      1,                  0.995,                0.79665,                0.79875,                0.33148,                 0.9897,             3.3153e-05,             3.3153e-05,             3.3153e-05
                    150,                0.41975,                0.26571,                 0.9274,                0.99512,                      1,                  0.995,                0.80109,                0.79587,                 0.3254,                0.99108,             2.3721e-05,             2.3721e-05,             2.3721e-05
